0,1,2
138-1,시립박물관.부산문화회관,2020/06/07_18:18:09
138-1,진양교차로,2020/06/07_18:18:09
138-1,감전동수문앞,2020/06/07_18:18:09
138-1,하남초등학교,2020/06/07_18:18:09
138-1,제일제당,2020/06/07_18:18:09
138-1,기점,2020/06/07_18:18:28
138-1,강변아파트,2020/06/07_18:18:28
138-1,산업용품상가,2020/06/07_18:18:28
138-1,당감입구교차로,2020/06/07_18:18:28
138-1,7부두,2020/06/07_18:18:28
138-1,시립박물관.부산문화회관,2020/06/07_18:18:28
138-1,진양교차로,2020/06/07_18:18:28
138-1,감전동수문앞,2020/06/07_18:18:28
138-1,하남초등학교,2020/06/07_18:18:28
138-1,제일제당,2020/06/07_18:18:28
138-1,기점,2020/06/07_18:18:47
138-1,가락타운104동,2020/06/07_18:18:47
138-1,괘법르네시떼역.르네시떼,2020/06/07_18:18:47
138-1,당감입구교차로,2020/06/07_18:18:47
138-1,남부중앙새마을금고,2020/06/07_18:18:47
138-1,시립박물관.부산문화회관,2020/06/07_18:18:47
138-1,진양교차로,2020/06/07_18:18:47
138-1,감전동수문앞,2020/06/07_18:18:47
138-1,하남초등학교,2020/06/07_18:18:47
138-1,제일제당,2020/06/07_18:18:47
138-1,기점,2020/06/07_18:19:07
138-1,가락타운104동,2020/06/07_18:19:07
138-1,괘법르네시떼역.르네시떼,2020/06/07_18:19:07
138-1,당감입구교차로,2020/06/07_18:19:07
138-1,우암초등학교,2020/06/07_18:19:07
138-1,부산공고,2020/06/07_18:19:07
138-1,진양교차로,2020/06/07_18:19:07
138-1,감전동수문앞,2020/06/07_18:19:07
138-1,신남초등학교,2020/06/07_18:19:07
138-1,제일제당,2020/06/07_18:19:07
138-1,기점,2020/06/07_18:19:26
138-1,가락타운104동,2020/06/07_18:19:26
138-1,괘법르네시떼역.르네시떼,2020/06/07_18:19:26
138-1,당감입구교차로,2020/06/07_18:19:26
138-1,우암초등학교,2020/06/07_18:19:26
138-1,부산공고,2020/06/07_18:19:26
138-1,진양교차로,2020/06/07_18:19:26
138-1,냉정고개,2020/06/07_18:19:26
138-1,신남초등학교,2020/06/07_18:19:26
138-1,제일제당,2020/06/07_18:19:26
138-1,기점,2020/06/07_18:19:46
138-1,가락타운104동,2020/06/07_18:19:46
138-1,괘법르네시떼역.르네시떼,2020/06/07_18:19:46
138-1,당감1치안센터,2020/06/07_18:19:46
138-1,우암초등학교,2020/06/07_18:19:46
138-1,동림맨션,2020/06/07_18:19:46
138-1,진양교차로,2020/06/07_18:19:46
138-1,부산전문장례식장,2020/06/07_18:19:46
138-1,신남초등학교,2020/06/07_18:19:46
138-1,제일제당,2020/06/07_18:19:46
138-1,기점,2020/06/07_18:20:11
138-1,가락타운104동,2020/06/07_18:20:11
138-1,괘법르네시떼역.르네시떼,2020/06/07_18:20:11
138-1,당감1치안센터,2020/06/07_18:20:11
138-1,우암초등학교,2020/06/07_18:20:11
138-1,동림맨션,2020/06/07_18:20:11
138-1,진양교차로,2020/06/07_18:20:11
138-1,부산전문장례식장,2020/06/07_18:20:11
138-1,신남초등학교,2020/06/07_18:20:11
138-1,제일제당,2020/06/07_18:20:11
138-1,기점,2020/06/07_18:20:31
138-1,가락타운104동,2020/06/07_18:20:31
138-1,동원아파트앞,2020/06/07_18:20:31
138-1,진양교차로,2020/06/07_18:20:31
138-1,우암뉴서울아파트,2020/06/07_18:20:31
138-1,동림맨션,2020/06/07_18:20:31
138-1,당감1치안센터,2020/06/07_18:20:31
138-1,부산전문장례식장,2020/06/07_18:20:31
138-1,신평역,2020/06/07_18:20:31
138-1,제일제당,2020/06/07_18:20:31
138-1,구평e편한세상입구,2020/06/07_18:20:50
138-1,가락타운115동,2020/06/07_18:20:50
138-1,동원아파트앞,2020/06/07_18:20:50
138-1,진양교차로,2020/06/07_18:20:50
138-1,우암뉴서울아파트,2020/06/07_18:20:50
138-1,성지고등학교,2020/06/07_18:20:50
138-1,당감1치안센터,2020/06/07_18:20:50
138-1,감전동,2020/06/07_18:20:50
138-1,신평역,2020/06/07_18:20:50
138-1,제일제당,2020/06/07_18:20:50
138-1,구평e편한세상입구,2020/06/07_18:21:10
138-1,가락타운115동,2020/06/07_18:21:10
138-1,삼락생태공원,2020/06/07_18:21:10
138-1,진양교차로,2020/06/07_18:21:10
138-1,우암뉴서울아파트,2020/06/07_18:21:10
138-1,성지고등학교,2020/06/07_18:21:10
138-1,당감1치안센터,2020/06/07_18:21:10
138-1,샤니케익,2020/06/07_18:21:10
138-1,신평역,2020/06/07_18:21:10
138-1,제일제당,2020/06/07_18:21:10
138-1,구평e편한세상입구,2020/06/07_18:21:29
138-1,가락타운115동,2020/06/07_18:21:29
138-1,한신아파트 2차,2020/06/07_18:21:29
138-1,진양교차로,2020/06/07_18:21:29
138-1,성지고등학교,2020/06/07_18:21:29
138-1,성지고등학교,2020/06/07_18:21:29
138-1,당감1치안센터,2020/06/07_18:21:29
138-1,감전동이마트,2020/06/07_18:21:29
138-1,동성화학,2020/06/07_18:21:29
138-1,제일제당,2020/06/07_18:21:29
138-1,구평e편한세상입구,2020/06/07_18:21:48
138-1,엄궁한신1차아파트,2020/06/07_18:21:48
138-1,한신아파트 2차,2020/06/07_18:21:48
138-1,진양교차로,2020/06/07_18:21:48
138-1,성지고등학교,2020/06/07_18:21:48
138-1,성지고등학교,2020/06/07_18:21:48
138-1,당감1치안센터,2020/06/07_18:21:48
138-1,감전동이마트,2020/06/07_18:21:48
138-1,동성화학,2020/06/07_18:21:48
138-1,제일제당,2020/06/07_18:21:48
138-1,구평e편한세상입구,2020/06/07_18:22:08
138-1,엄궁한신1차아파트,2020/06/07_18:22:08
138-1,한신아파트 1차,2020/06/07_18:22:08
138-1,진양교차로,2020/06/07_18:22:08
138-1,성지고등학교,2020/06/07_18:22:08
138-1,우암뉴서울아파트,2020/06/07_18:22:08
138-1,당감입구교차로,2020/06/07_18:22:08
138-1,감전동이마트,2020/06/07_18:22:08
138-1,동성화학,2020/06/07_18:22:08
138-1,제일제당,2020/06/07_18:22:08
138-1,구평e편한세상입구,2020/06/07_18:22:27
138-1,엄궁한신1차아파트,2020/06/07_18:22:27
138-1,한신아파트 1차,2020/06/07_18:22:27
138-1,진양교차로,2020/06/07_18:22:27
138-1,성지고등학교,2020/06/07_18:22:27
138-1,우암뉴서울아파트,2020/06/07_18:22:27
138-1,당감입구교차로,2020/06/07_18:22:27
138-1,감전동이마트,2020/06/07_18:22:27
138-1,동성화학,2020/06/07_18:22:27
138-1,제일제당,2020/06/07_18:22:27
138-1,구평e편한세상입구,2020/06/07_18:22:47
138-1,엄궁한신1차아파트,2020/06/07_18:22:47
138-1,사상초등학교,2020/06/07_18:22:47
138-1,진양교차로,2020/06/07_18:22:47
138-1,성지고등학교,2020/06/07_18:22:47
138-1,우암뉴서울아파트,2020/06/07_18:22:47
138-1,당평초등학교,2020/06/07_18:22:47
138-1,감전동이마트,2020/06/07_18:22:47
138-1,동성화학,2020/06/07_18:22:47
138-1,제일제당,2020/06/07_18:22:47
138-1,구평e편한세상입구,2020/06/07_18:23:06
138-1,엄궁한신1차아파트,2020/06/07_18:23:06
138-1,사상초등학교,2020/06/07_18:23:06
138-1,진양교차로,2020/06/07_18:23:06
138-1,동림맨션,2020/06/07_18:23:06
138-1,우암초등학교,2020/06/07_18:23:06
138-1,당평초등학교,2020/06/07_18:23:06
138-1,엄궁정비,2020/06/07_18:23:06
138-1,무지개아파트,2020/06/07_18:23:06
138-1,제일제당,2020/06/07_18:23:06
138-1,구평e편한세상입구,2020/06/07_18:23:26
138-1,엄궁한신1차아파트,2020/06/07_18:23:26
138-1,사상초등학교,2020/06/07_18:23:26
138-1,부암역.당감입구,2020/06/07_18:23:26
138-1,동림맨션,2020/06/07_18:23:26
138-1,우암초등학교,2020/06/07_18:23:26
138-1,당감3동우체국,2020/06/07_18:23:26
138-1,중고차매매시장,2020/06/07_18:23:26
138-1,무지개아파트,2020/06/07_18:23:26
138-1,제일제당,2020/06/07_18:23:26
138-1,장림,2020/06/07_18:23:45
138-1,엄궁한신1차아파트,2020/06/07_18:23:45
138-1,사상초등학교,2020/06/07_18:23:45
138-1,부암역.당감입구,2020/06/07_18:23:45
138-1,부산공고,2020/06/07_18:23:45
138-1,남부중앙새마을금고,2020/06/07_18:23:45
138-1,당감3동우체국,2020/06/07_18:23:45
138-1,중고차매매시장,2020/06/07_18:23:45
138-1,무지개아파트,2020/06/07_18:23:45
138-1,제일제당,2020/06/07_18:23:45
138-1,장림,2020/06/07_18:24:05
138-1,엄궁한신1차아파트,2020/06/07_18:24:05
138-1,서부시외버스터미널(사상역),2020/06/07_18:24:05
138-1,부암역.당감입구,2020/06/07_18:24:05
138-1,부산공고,2020/06/07_18:24:05
138-1,남부중앙새마을금고,2020/06/07_18:24:05
138-1,당감3동우체국,2020/06/07_18:24:05
138-1,중고차매매시장,2020/06/07_18:24:05
138-1,하단SK뷰아파트앞,2020/06/07_18:24:05
138-1,제일제당,2020/06/07_18:24:05
138-1,장림,2020/06/07_18:24:24
138-1,엄궁한신1차아파트,2020/06/07_18:24:24
138-1,서부시외버스터미널(사상역),2020/06/07_18:24:24
138-1,부암역.당감입구,2020/06/07_18:24:24
138-1,부산공고,2020/06/07_18:24:24
138-1,7부두,2020/06/07_18:24:24
138-1,당감3동우체국,2020/06/07_18:24:24
138-1,중고차매매시장,2020/06/07_18:24:24
138-1,하단SK뷰아파트앞,2020/06/07_18:24:24
138-1,제일제당,2020/06/07_18:24:24
138-1,장림,2020/06/07_18:24:44
138-1,엄궁동주민센터,2020/06/07_18:24:44
138-1,서부시외버스터미널(사상역),2020/06/07_18:24:44
138-1,부암역.당감입구,2020/06/07_18:24:44
138-1,부산공고,2020/06/07_18:24:44
138-1,7부두,2020/06/07_18:24:44
138-1,개금주공아파트,2020/06/07_18:24:44
138-1,중고차매매시장,2020/06/07_18:24:44
138-1,하단SK뷰아파트앞,2020/06/07_18:24:44
138-1,제일제당,2020/06/07_18:24:44
138-1,장림,2020/06/07_18:25:03
138-1,엄궁동주민센터,2020/06/07_18:25:03
138-1,서부시외버스터미널(사상역),2020/06/07_18:25:03
138-1,부암역.당감입구,2020/06/07_18:25:03
138-1,부산공고,2020/06/07_18:25:03
138-1,7부두,2020/06/07_18:25:03
138-1,개금주공아파트,2020/06/07_18:25:03
138-1,중고차매매시장,2020/06/07_18:25:03
138-1,하단SK뷰아파트앞,2020/06/07_18:25:03
138-1,제일제당,2020/06/07_18:25:03
138-1,장림,2020/06/07_18:25:23
138-1,엄궁동주민센터,2020/06/07_18:25:23
138-1,서부시외버스터미널(사상역),2020/06/07_18:25:23
138-1,롯데호텔백화점(서면역),2020/06/07_18:25:23
138-1,시립박물관.부산문화회관,2020/06/07_18:25:23
138-1,7부두,2020/06/07_18:25:23
138-1,개포초등학교,2020/06/07_18:25:23
138-1,엄궁삼거리,2020/06/07_18:25:23
138-1,하단SK뷰아파트앞,2020/06/07_18:25:23
138-1,제일제당,2020/06/07_18:25:23
138-1,사하경찰서,2020/06/07_18:25:42
138-1,엄궁동주민센터,2020/06/07_18:25:42
138-1,사상우체국,2020/06/07_18:25:42
138-1,롯데호텔백화점(서면역),2020/06/07_18:25:42
138-1,시립박물관.부산문화회관,2020/06/07_18:25:42
138-1,7부두,2020/06/07_18:25:42
138-1,한국신발관,2020/06/07_18:25:42
138-1,엄궁삼거리,2020/06/07_18:25:42
138-1,동매역,2020/06/07_18:25:42
138-1,제일제당,2020/06/07_18:25:42
138-1,사하경찰서,2020/06/07_18:26:01
138-1,엄궁동주민센터,2020/06/07_18:26:01
138-1,사상우체국,2020/06/07_18:26:01
138-1,서면부속상가,2020/06/07_18:26:01
138-1,시립박물관.부산문화회관,2020/06/07_18:26:01
138-1,7부두,2020/06/07_18:26:01
138-1,한국신발관,2020/06/07_18:26:01
138-1,엄궁동주민센터,2020/06/07_18:26:01
138-1,동매역,2020/06/07_18:26:01
138-1,제일제당,2020/06/07_18:26:01
138-1,사하경찰서,2020/06/07_18:26:21
138-1,엄궁삼거리,2020/06/07_18:26:21
138-1,사상우체국,2020/06/07_18:26:21
138-1,서면부속상가,2020/06/07_18:26:21
138-1,유엔공원.부산문화회관,2020/06/07_18:26:21
138-1,7부두,2020/06/07_18:26:21
138-1,개금3동주민센터,2020/06/07_18:26:21
138-1,엄궁동주민센터,2020/06/07_18:26:21
138-1,동매역,2020/06/07_18:26:21
138-1,제일제당,2020/06/07_18:26:21
138-1,사하경찰서,2020/06/07_18:26:40
138-1,엄궁삼거리,2020/06/07_18:26:40
138-1,사상우체국,2020/06/07_18:26:40
138-1,서면부속상가,2020/06/07_18:26:40
138-1,유엔공원.부산문화회관,2020/06/07_18:26:40
138-1,문현교차로,2020/06/07_18:26:40
138-1,개금3동주민센터,2020/06/07_18:26:40
138-1,엄궁동주민센터,2020/06/07_18:26:40
138-1,신평시장,2020/06/07_18:26:40
138-1,제일제당,2020/06/07_18:26:40
138-1,사하경찰서,2020/06/07_18:27:00
138-1,엄궁삼거리,2020/06/07_18:27:00
138-1,사상우체국,2020/06/07_18:27:00
138-1,서면부속상가,2020/06/07_18:27:00
138-1,석포여중,2020/06/07_18:27:00
138-1,성동초등학교후문,2020/06/07_18:27:00
138-1,개금3동주민센터,2020/06/07_18:27:00
138-1,엄궁동주민센터,2020/06/07_18:27:00
138-1,신평시장,2020/06/07_18:27:00
138-1,제일제당,2020/06/07_18:27:00
138-1,사하경찰서,2020/06/07_18:27:19
138-1,엄궁삼거리,2020/06/07_18:27:19
138-1,삼대한의원,2020/06/07_18:27:19
138-1,서면부속상가,2020/06/07_18:27:19
138-1,석포여중,2020/06/07_18:27:19
138-1,성동초등학교후문,2020/06/07_18:27:19
138-1,개금역.개금초등학교,2020/06/07_18:27:19
138-1,엄궁동주민센터,2020/06/07_18:27:19
138-1,신평시장,2020/06/07_18:27:19
138-1,제일제당,2020/06/07_18:27:19
138-1,사하경찰서,2020/06/07_18:27:39
138-1,엄궁삼거리,2020/06/07_18:27:39
138-1,삼대한의원,2020/06/07_18:27:39
138-1,서면부속상가,2020/06/07_18:27:39
138-1,한신문화타운,2020/06/07_18:27:39
138-1,성동초등학교후문,2020/06/07_18:27:39
138-1,개금역.개금초등학교,2020/06/07_18:27:39
138-1,엄궁동주민센터,2020/06/07_18:27:39
138-1,사하경찰서,2020/06/07_18:27:39
138-1,제일제당,2020/06/07_18:27:39
138-1,사하경찰서,2020/06/07_18:27:58
138-1,엄궁삼거리,2020/06/07_18:27:58
138-1,삼대한의원,2020/06/07_18:27:58
138-1,서면부속상가,2020/06/07_18:27:58
138-1,한신문화타운,2020/06/07_18:27:58
138-1,성동초등학교후문,2020/06/07_18:27:58
138-1,개금역.개금초등학교,2020/06/07_18:27:58
138-1,엄궁한신1차아파트,2020/06/07_18:27:58
138-1,사하경찰서,2020/06/07_18:27:58
138-1,제일제당,2020/06/07_18:27:58
138-1,사하경찰서,2020/06/07_18:28:17
138-1,엄궁삼거리,2020/06/07_18:28:17
138-1,삼대한의원,2020/06/07_18:28:17
138-1,서면부속상가,2020/06/07_18:28:17
138-1,한신문화타운,2020/06/07_18:28:17
138-1,성동초등학교후문,2020/06/07_18:28:17
138-1,개금역.개금초등학교,2020/06/07_18:28:17
138-1,엄궁한신1차아파트,2020/06/07_18:28:17
138-1,사하경찰서,2020/06/07_18:28:17
138-1,제일제당,2020/06/07_18:28:17
138-1,신평시장,2020/06/07_18:28:37
138-1,엄궁삼거리,2020/06/07_18:28:37
138-1,삼대한의원,2020/06/07_18:28:37
138-1,서면부속상가,2020/06/07_18:28:37
138-1,한신문화타운,2020/06/07_18:28:37
138-1,국제금융센터(부산은행역),2020/06/07_18:28:37
138-1,개금역.개금초등학교,2020/06/07_18:28:37
138-1,엄궁한신1차아파트,2020/06/07_18:28:37
138-1,사하경찰서,2020/06/07_18:28:37
138-1,제일제당,2020/06/07_18:28:37
138-1,신평시장,2020/06/07_18:28:56
138-1,엄궁정비,2020/06/07_18:28:56
138-1,북부산세무서(감전역),2020/06/07_18:28:56
138-1,서면부속상가,2020/06/07_18:28:56
138-1,동명대학교후문,2020/06/07_18:28:56
138-1,문전교차로,2020/06/07_18:28:56
138-1,개금역.개금초등학교,2020/06/07_18:28:56
138-1,엄궁한신1차아파트,2020/06/07_18:28:56
138-1,사하경찰서,2020/06/07_18:28:56
138-1,제일제당,2020/06/07_18:28:56
138-1,동매역,2020/06/07_18:29:16
138-1,엄궁정비,2020/06/07_18:29:16
138-1,북부산세무서(감전역),2020/06/07_18:29:16
138-1,서면부속상가,2020/06/07_18:29:16
138-1,부경대용당캠퍼스,2020/06/07_18:29:16
138-1,문전교차로,2020/06/07_18:29:16
138-1,냉정고개,2020/06/07_18:29:16
138-1,엄궁한신1차아파트,2020/06/07_18:29:16
138-1,사하경찰서,2020/06/07_18:29:16
138-1,제일제당,2020/06/07_18:29:16
138-1,동매역,2020/06/07_18:29:35
138-1,엄궁정비,2020/06/07_18:29:35
138-1,북부산세무서(감전역),2020/06/07_18:29:35
138-1,NC서면점,2020/06/07_18:29:35
138-1,용당동,2020/06/07_18:29:35
138-1,문전교차로,2020/06/07_18:29:35
138-1,경남정보대(냉정역),2020/06/07_18:29:35
138-1,하단SK뷰아파트앞,2020/06/07_18:29:35
138-1,사하경찰서,2020/06/07_18:29:35
138-1,제일제당,2020/06/07_18:29:35
138-1,동매역,2020/06/07_18:29:55
138-1,엄궁정비,2020/06/07_18:29:55
138-1,북부산세무서(감전역),2020/06/07_18:29:55
138-1,NC서면점,2020/06/07_18:29:55
138-1,용당동,2020/06/07_18:29:55
138-1,문전교차로,2020/06/07_18:29:55
138-1,럭키아파트(주례역),2020/06/07_18:29:55
138-1,하단SK뷰아파트앞,2020/06/07_18:29:55
138-1,장림,2020/06/07_18:29:55
138-1,제일제당,2020/06/07_18:29:55
138-1,동매역,2020/06/07_18:30:14
138-1,엄궁정비,2020/06/07_18:30:14
138-1,주례1동주민센터,2020/06/07_18:30:14
138-1,NC서면점,2020/06/07_18:30:14
138-1,신선대CNG충전소,2020/06/07_18:30:14
138-1,경남공고(전포역),2020/06/07_18:30:14
138-1,럭키아파트(주례역),2020/06/07_18:30:14
138-1,하단SK뷰아파트앞,2020/06/07_18:30:14
138-1,장림,2020/06/07_18:30:14
138-1,제일제당,2020/06/07_18:30:14
138-1,동매역,2020/06/07_18:30:33
138-1,감전동이마트,2020/06/07_18:30:33
138-1,주례1동주민센터,2020/06/07_18:30:33
138-1,NC서면점,2020/06/07_18:30:33
138-1,신선대CNG충전소,2020/06/07_18:30:33
138-1,경남공고(전포역),2020/06/07_18:30:33
138-1,럭키아파트(주례역),2020/06/07_18:30:33
138-1,하단SK뷰아파트앞,2020/06/07_18:30:33
138-1,대동중고등학교,2020/06/07_18:30:33
138-1,제일제당,2020/06/07_18:30:33
138-1,삼진냉장,2020/06/07_18:30:53
138-1,감전동이마트,2020/06/07_18:30:53
138-1,주례1동주민센터,2020/06/07_18:30:53
138-1,전포사거리,2020/06/07_18:30:53
138-1,신선대CNG충전소,2020/06/07_18:30:53
138-1,경남공고(전포역),2020/06/07_18:30:53
